House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
400403,CA,5,Yea,"Rep. Mike Thompson [D, 2013-2016]",Democrat
400404,TX,13,Yea,"Rep. Mac Thornberry [R, 1995-2016]",Republican
400406,OH,12,Not Voting,"Rep. Patrick “Pat” Tiberi [R, 2001-2016]",Republican
400407,MA,6,Yea,"Rep. John Tierney [D, 1997-2014]",Democrat
400411,OH,10,Yea,"Rep. Michael Turner [R, 2013-2016]",Republican
400414,MI,6,Yea,"Rep. Fred Upton [R, 1993-2016]",Republican
400415,MD,8,Yea,"Rep. Chris Van Hollen Jr. [D, 2003-2016]",Democrat
400416,NY,7,Yea,"Rep. Nydia Velázquez [D, 2013-2016]",Democrat
400417,IN,1,Yea,"Rep. Peter Visclosky [D, 1985-2016]",Democrat
400419,OR,2,Yea,"Rep. Greg Walden [R, 1999-2016]",Republican
400422,CA,43,Yea,"Rep. Maxine Waters [D, 2013-2016]",Democrat
400425,CA,33,Yea,"Rep. Henry Waxman [D, 2013-2014]",Democrat
400431,KY,1,Yea,"Rep. Ed Whitfield [R, 1995-2016]",Republican
400433,SC,2,Yea,"Rep. Joe Wilson [R, 2001-2016]",Republican
400435,VA,10,Yea,"Rep. Frank Wolf [R, 1981-2014]",Republican
400440,AK,0,Yea,"Rep. Don Young [R, 1973-2016]",Republican
400441,TX,19,Nay,"Rep. Randy Neugebauer [R, 2003-2016]",Republican
400606,AZ,5,Yea,"Rep. Matt Salmon [R, 2013-2016]",Republican
400607,SC,1,Yea,"Rep. Marshall “Mark” Sanford [R, 2013-2016]",Republican
400616,NC,1,Yea,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2016]",Democrat
400618,CA,16,Yea,"Rep. Jim Costa [D, 2013-2016]",Democrat
400623,FL,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2016]",Democrat
400626,GA,6,Nay,"Rep. Tom Price [R, 2005-2016]",Republican
400627,GA,3,Yea,"Rep. Lynn Westmoreland [R, 2007-2016]",Republican
400628,GA,12,Yea,"Rep. John Barrow [D, 2005-2014]",Democrat
400630,IL,3,Yea,"Rep. Daniel Lipinski [D, 2005-2016]",Democrat
400636,LA,3,Yea,"Rep. Charles Boustany Jr. [R, 2013-2016]",Republican
400639,MO,5,Not Voting,"Rep. Emanuel Cleaver II [D, 2005-2016]",Democrat
400640,NE,1,Yea,"Rep. Jeff Fortenberry [R, 2005-2016]",Republican
400641,NY,26,Yea,"Rep. Brian Higgins [D, 2013-2016]",Democrat
400643,NC,5,Yea,"Rep. Virginia Foxx [R, 2005-2016]",Republican
400644,NC,10,Yea,"Rep. Patrick McHenry [R, 2005-2016]",Republican
400646,PA,8,Yea,"Rep. Michael Fitzpatrick [R, 2011-2016]",Republican
400647,PA,13,Yea,"Rep. Allyson Schwartz [D, 2005-2014]",Democrat
400648,PA,15,Yea,"Rep. Charles Dent [R, 2005-2016]",Republican
400651,TX,1,Nay,"Rep. Louie Gohmert Jr. [R, 2005-2016]",Republican
400652,TX,2,Nay,"Rep. Ted Poe [R, 2005-2016]",Republican
400653,TX,9,Yea,"Rep. Al Green [D, 2005-2016]",Democrat
400654,TX,10,Yea,"Rep. Michael McCaul [R, 2005-2016]",Republican
400655,TX,11,Yea,"Rep. Michael Conaway [R, 2005-2016]",Republican
400656,TX,24,Not Voting,"Rep. Kenny Marchant [R, 2005-2016]",Republican
400657,TX,28,Yea,"Rep. Henry Cuellar [D, 2005-2016]",Democrat
400659,WA,5,Yea,"Rep. Cathy McMorris Rodgers [R, 2005-2016]",Republican
400660,WA,8,Yea,"Rep. David Reichert [R, 2005-2016]",Republican
400661,WI,4,Yea,"Rep. Gwen Moore [D, 2005-2016]",Democrat
400663,CA,6,Yea,"Rep. Doris Matsui [D, 2013-2016]",Democrat
408211,MN,8,Yea,"Rep. Richard Nolan [D, 2013-2016]",Democrat
409888,PA,9,Yea,"Rep. Bill Shuster [R, 2001-2016]",Republican
410396,TX,36,Not Voting,"Rep. Steve Stockman [R, 2013-2014]",Republican
412011,CA,45,Not Voting,"Rep. John Campbell III [R, 2013-2014]",Republican
412186,NJ,8,Yea,"Rep. Albio Sires [D, 2013-2016]",Democrat
412189,CA,9,Yea,"Rep. Jerry McNerney [D, 2013-2016]",Democrat
412190,CA,23,Yea,"Rep. Kevin McCarthy [R, 2013-2016]",Republican
412191,CO,5,Yea,"Rep. Doug Lamborn [R, 2007-2016]",Republican
412192,CO,7,Yea,"Rep. Ed Perlmutter [D, 2007-2016]",Democrat
412193,CT,2,Yea,"Rep. Joe Courtney [D, 2007-2016]",Democrat
412195,FL,14,Yea,"Rep. Kathy Castor [D, 2013-2016]",Democrat
412196,FL,16,Not Voting,"Rep. Vern Buchanan [R, 2013-2016]",Republican
412199,GA,4,Yea,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2016]",Democrat
412202,IL,6,Yea,"Rep. Peter Roskam [R, 2007-2016]",Republican
412208,IA,1,Yea,"Rep. Bruce Braley [D, 2007-2014]",Democrat
412209,IA,2,Yea,"Rep. David Loebsack [D, 2007-2016]",Democrat
412211,KY,3,Yea,"Rep. John Yarmuth [D, 2007-2016]",Democrat
412212,MD,3,Yea,"Rep. John Sarbanes [D, 2007-2016]",Democrat
412213,MI,7,Yea,"Rep. Tim Walberg [R, 2011-2016]",Republican
412214,MN,1,Yea,"Rep. Timothy Walz [D, 2007-2016]",Democrat
412215,MN,5,Yea,"Rep. Keith Ellison [D, 2007-2016]",Democrat
412216,MN,6,Yea,"Rep. Michele Bachmann [R, 2007-2014]",Republican
412217,NE,3,Yea,"Rep. Adrian Smith [R, 2007-2016]",Republican
