name,cid,party,office
Albio Sires,N00027523,D,NJ08
Bill Pascrell Jr,N00000751,D,NJ09
Donald M Payne Jr,N00034639,D,NJ10
Rodney Frelinghuysen,N00000684,R,NJ11
Bonnie Coleman,N00036158,D,NJ12
Robert Menendez,N00000699,D,NJS1
Cory Booker,N00035267,D,NJS2
Michelle Lujan Grisham,N00029400,D,NM01
Steve Pearce,N00012672,R,NM02
Ben R Lujan,N00029562,D,NM03
Martin Heinrich,N00029835,D,NMS1
Tom Udall,N00006561,D,NMS2
Dina Titus,N00030191,D,NV01
Mark Amodei,N00031177,R,NV02
Joe Heck,N00031244,R,NV03
Cresent Hardy,N00035628,R,NV04
Dean Heller,N00027522,R,NVS1
Harry Reid,N00009922,D,NVS2
Lee Zeldin,N00029404,R,NY01
Pete King,N00001193,R,NY02
Steve Israel,N00013345,D,NY03
Kathleen Rice,N00035927,D,NY04
Gregory W Meeks,N00001171,D,NY05
Grace Meng,N00034547,D,NY06
Nydia M Velazquez,N00001102,D,NY07
Hakeem Jeffries,N00033640,D,NY08
Yvette D Clarke,N00026961,D,NY09
Jerrold Nadler,N00000939,D,NY10
Dan Donovan,N00036928,R,NY11
Carolyn B Maloney,N00000078,D,NY12
Charles B Rangel,N00000964,D,NY13
Joseph Crowley,N00001127,D,NY14
Jose E Serrano,N00001813,D,NY15
Eliot L Engel,N00001003,D,NY16
Nita M Lowey,N00001024,D,NY17
Sean Patrick Maloney,N00034277,D,NY18
Chris Gibson,N00031998,R,NY19
Paul Tonko,N00030196,D,NY20
Elise Stefanik,N00035523,R,NY21
Richard Hanna,N00030197,R,NY22
Tom Reed,N00030949,R,NY23
John Katko,N00035934,R,NY24
Louise M Slaughter,N00001311,D,NY25
Brian M Higgins,N00027060,D,NY26
Chris Collins,N00001285,R,NY27
Kirsten Gillibrand,N00027658,D,NYS1
Charles E Schumer,N00001093,D,NYS2
Steve Chabot,N00003689,R,OH01
Brad Wenstrup,N00033310,R,OH02
Joyce Beatty,N00033904,D,OH03
Jim Jordan,N00027894,R,OH04
Robert E Latta,N00012233,R,OH05
Bill Johnson,N00032088,R,OH06
Bob Gibbs,N00031128,R,OH07
John Boehner,N00003675,R,OH08
Marcy Kaptur,N00003522,D,OH09
Michael R Turner,N00025175,R,OH10
Marcia L Fudge,N00030490,D,OH11
Patrick J Tiberi,N00009699,R,OH12
Tim Ryan,N00025280,D,OH13
David P Joyce,N00035007,R,OH14
Steve Stivers,N00029574,R,OH15
Jim Renacci,N00031127,R,OH16
Sherrod Brown,N00003535,D,OHS1
Rob Portman,N00003682,R,OHS2
James Bridenstine,N00033532,R,OK01
Markwayne Mullin,N00033410,R,OK02
Frank D Lucas,N00005559,R,OK03
Tom Cole,N00025726,R,OK04
Steven Russell,N00036175,R,OK05
James Lankford,N00031129,R,OKS1
James M Inhofe,N00005582,R,OKS2
Suzanne Bonamici,N00033474,D,OR01
Greg Walden,N00007690,R,OR02
